+----------------------------------------------------------------+
|   №  |  Token               |   Info                           |
+----------------------------------------------------------------+
|  119   |area                               |FUNCTION CALL                                       
|  119   |(                                  |PARENTHESIS                                         
|  119   |)                                  |PARENTHESIS                                         
|  119   |<<                                 |OPERATOR                                            
|  119   |std                                |NAMESPACE                                           
|  119   |::                                 |DOUBLE COLON                                        
|  119   |endl                               |KEYWORD                                             
|  119   |;                                  |END OF CONSTRUCTION                                 
|  121   |return                             |KEYWORD                                             
|  121   |0                                  |INTEGER                                             
|  121   |;                                  |END OF CONSTRUCTION                                 
|  122   |}                                  |PARENTHESIS                                         
+----------------------------------------------------------------+
